,한글 이름,영문 이름,가격,종류,나라,도시,아로마,음식매칭,전문가 평점,소비자 평점,알코올,당도,산도,바디,타닌,메이커스 노트,테이스팅 노트
139,"데 스테파니, 스테펜 1624","De Stefani, Stefen 1624",350000.0,,이탈리아,베네토,"배, 체리, 블랙베리, 꽃, 제비꽃, 오크",치즈,-,-,17 %,1,4,5,5,"매우 진한 루비 색상을 띠고 잘 익은 열대 과일과 제비꽃 향이 지배적이며, 특히 야생 체리와 블랙베리의 향이 인상적인 풀바디 와인이다.

9월 말에서 10월 초에 수확하여 포도 최상의 완숙과 아로마를 가지고 있어, 부드럽고 우아한 타닌을 느낄 수 있다. 좋은 포도만 선별하여 20일간 침용시킨 후 천천히 숙성시킨다. 이렇게 양조된 와인은 포도 껍질에서 나오는 매우 귀족적이며 우아함을 특징으로 한다. 이후 작은 사이즈의 오크통에서 36개월 숙성시키고 병입한 후, 다시 18개월간의 숙성 시간을 가진다.",
140,"디킨, 쉬라즈","Deakin, Shiraz",29000.0,,호주,빅토리아,"자두, 자두","육류요리, 피자",-,3.5,13~14 %,1,4,3,3,"진하고 생생한 레드 컬러를 띤다. 블렉베리 및 멀베리를 포함한 풍부한 베리 과일향이 나며 매력적인 몰트, 아몬드, 모카향이 함께 느껴진다. 잘 익은 다크베리의 풍미가 풍부하면서도 과즙이 많이 느껴지며 오크 숙성의 밸런스가 좋은 와인이다. 구조감이 좋으며 미디움 타닌에 지속되는 여운이 특징이다.",
141,"마르케시 디 바롤로, 네비올로 달바 미쉐트","Marchesi di Barolo, Nebbiolo d'Alba Michet",,,이탈리아,알바,"바닐라, 오크, 미네랄","편육, 치즈, 리조토, 파스타, 양갈비",-,-,13~14 %,1,4,3,4,"피에몬테 지역의 풍부한 미네랄 토양에서 자란 네비올로 포도으로 주조된 제품으로 루비레드 컬러에 라즈베리향을 지닌 풍부한 과일향과 바닐라 향이 특징이며, 부드러운 탄닌과 풍부한 오크향이 함께 이 와인을 풍부하게 해주는 와인이다.

포도를 수확한 후 꼭지를 제거하고 부드럽게 압착해서 껍질과 포도의 바깥 부분에서 가장 향기로운 향만 얻는다. 발효는 열조절가능한 탱크에서 이루어지며, 탱크에 포도를 8일간 담궈둔다. 이 기간 동안 와인을 정기적으로 섞어주어 포도껍질의 모든 성분과 색을 간직하게 하고, 포도의 천연 당분이 완전히 알코올로 변했을 때 숙성을 시작한다. 숙성은 오크통에서 2~8년간 이루어진다.",
142,"스칼리올라, 피에몬테 샤르도네","Scagliola, Piemonte Chardonnay",49000.0,,이탈리아,피에몬테,"배, 바닐라, 꽃, 라임, 자몽","치즈, 치킨, 연어, 생선구이, 샐러드",-,-,,1,3,3,1,"볏짚색을 띠고 있으며 잘 익은 멜론, 라임, 자몽 등 달콤하고 산뜻한 과일향과 함께 오크통 숙성에서 배어나는 바닐라 향이 어우러져 우아한 향을 즐길 수 있다. 포도 고유의 맛과 함께 적당한 산미가 가미되어 누구나 편안하고 부드럽게 마실 수 있는 풍미를 만들어낸다. 피에몬테 전통방식으로 만들어져 프랑스산 오크 배럴에서 12개월, 병입 후 6개월 더 숙성시켜 연간 3천 병 한정적으로 생산한다.

스칼리올라 가족과 와이너리 인근 주민들이 하나씩 모두 수작업으로 색을 입혀 레이블을 만든 특별한 와인이다. 와인 병마다 꽃 그림의 색깔와 모양이 조금씩 달라, 레이블 수집의 재미도 더하는 와인이다.",
143,"도멘 생그라, 아센시오","Domaine Singla, Asencio",58000.0,,프랑스,랑그독-루씨옹,"치즈, 소고기, 양고기",,-,3.5,15 %,1,2,4,4,"자주빛이 감도는 뚜렷한 붉은 빛. 붉은 과실과 향신료의 향이 복합적으로 느껴지며 살짝 가벼운 듯 하지만 시간이 흐를수록 후각을 매혹시킨다. 약간의 산도와 미디움 이상의 질감을 보여주는 제품으로 입 안 전체를 감싼 후 붉은 과일과 계피, 넛맥 같은 달콤한 향이 점차퍼진다. 부드러운 탄닌과 신선함으로 기분 좋은 피니쉬를 선사한다.",
144,"머드 하우스, 피노 누아","Mud House, Central Otago Pinot Noir",70000.0,,뉴질랜드,센트럴 오타고,"체리, 오크",양갈비,-,4,,1,4,3,3,"아름다운 루비빛 레드 컬러. 레드 체리, 라즈베리, 오크 숙성을 통해 얻어진 스파이시한 향신료 향이 느껴진다. 풍성한 과일 향과 함께 스모키한 오크 향, 섬세히 느껴지는 산도와 탄닌의 조화가 좋다. 원액의 일부는 프랑스산 오크통(new & used)에서 일정기간 숙성 진행되었다.",
145,"비센테 간디아, 엘 미라클 마리스칼","Viccente Gandia, El Miracle by Mariscal",50000.0,,스페인,발렌시아,"배, 체리, 꽃, 오크",,-,3.5,,1,3,4,4,"빛나는 밝은 체리 색을 가졌으며 꽃향기와 붉은 과일의 맛이 부드러워 입 안에서 기분 좋은 산미와 타닌을 느낄 수 있따. Valentino 와인 생산지역에 위치한 Goelet에서 35년 이상된 포도나무에서 재배하고 수확한 Grenache Tintorere를 사용하며, 프렌치 오크통에서 발효하는 와인이다.",
146,"샴페인 드 브노쥬, 꼬르동 블루 브뤼","Champagne de Venoge, Cordon Bleu Brut",234000.0,스파클링,프랑스,샹빠뉴,"사과, 레몬, 꿀",아페리티프,-,3.3,12 %,1,3,3,1,"밝은 골드 컬러와 생기있는 버블. 청 사과의 상큼함과 레몬과 꿀에 이르는 다양하고 복합적인 아로마를 가지고 있다. 부드러운 버블이 주는 우아함과 깊이 있는 풍미를 가진 샴페인이다. *Dosage 7.8g/L

꼬르동 블루(Cordon Bleu)는 첫 프레스한 주스와 함께 2년간 숙성한 리저브 와인(Wine) 20%를 블렌딩해서 생산되는 샴페인으로 드 브노쥬(de Venoge) 하우스의 우아한 스타일을 반영한 와인이다. (총 3년 숙성 후 출시)","
dn486sy
2018.10.18
NV 빈티지
3.0
산미와 프랑스 샴페인 특유의 꿉꿉한 향은 나지만 샴페인 대표 국가인만큼 깊이감이 느껴짐
tim
2018.10.18
NV 빈티지
2.0
이스트향이 좋았지만 집중도가 너무 떨어져서 실망이었다. 차라리 집중도 좋은 까바가 낫다.
김상미
2018.10.18
NV 빈티지
4.5
농익은 과일향이 많아 잡채나 불고기에 먹어도 넘 좋을 듯
순둥이
2018.10.18
NV 빈티지
4.0
이종재/JJ
2018.10.18
NV 빈티지
3.5
첫 맛에 서양배 향 가득
이주엘
2018.10.18
NV 빈티지
2.5
장우성
2018.10.18
NV 빈티지
4.0
복합적이고 살아있는 향과 풍부한 과실미가 매력적
정지웅
2018.10.18
NV 빈티지
3.5
사과 효모향이 좋다.
산도, 밸런스 좋음
제이미K
2018.10.18
NV 빈티지
4.0
한만호
2018.10.18
NV 빈티지
2.0"
147,"아그리콜라 푸니카, 사마스","Agricola Punica, Samas",70000.0,,이탈리아,사르데냐,"사과, 꽃, 시트러스, 열대과일","파스타, 전채요리",-,3.8,13 %,1,3,2,1,"약간의 초록빛이 감도는 선명한 볏짚색. 사과꽃향과 함께 시트 러스향, 열대과일 향이 난다. 경쾌한 산도와 함께 잘 익은 사과 풍미와 좋은 미네랄 풍미가 어우러져 부드럽고 산뜻하게 마실 수 있다. 아그리콜라 푸니카 사마스는 테누타 산 귀도 사씨카이아의 이름으로 출시되는 유일한 화이트 와인. 베르멘티노 품종답게 오픈하는 순간 사과꽃향, 시트러스향이 화려하게 피어올라 야외에서의 산뜻한 점심과 완벽한 페어링을 보여준다.",
148,"까잘 가르시아, 상그리아","Casal Garcia, Sangria",30000.0,,포르투갈,,"사과, 딸기, 시나몬, 감귤",,-,3.5,8~9 %,3,2,2,1,"투명하고 밝은 루비색. 사과, 산딸기, 시나몬과 감귤의 아로마가 느껴진다. 청량감과 벨벳느낌의 부드러운 질감, 과일의 여운이 잘 느껴지는 상그리아다. 선별된 포도를 저온에서 발효 후, 과일과 향신료 에센스를 추가하였다. 잔당 100 g/l이다.",
149,"브리스데일, 프랭크 포트","Bleasdale, Frank Potts",77000.0,,호주,랭혼 크릭,"자두, 자두, 체리, 바닐라, 시나몬, 민트","치즈, 에멘탈, 송아지, 살라미, 파스타",-,3,14~15 %,1,4,4,4,"다크 체리색. 레드베리, 자두, 검붉은 베리류의 아로마와 민트, 흙, 시가박스 등 오크 숙성을 거친
고급 보르도 와인을 연상시킨다. 깊고 진한 타닌을 느낄 수 있으며 바이올렛과 블랙 올리브의 터치와 함께 넛맥, 시나몬과 스파이스 오크와 바닐라 뉘앙스를 보여주는 와인이다.",
150,타리마 모스카텔,Tarima Moscatel,34000.0,스파클링,스페인,알리칸테,"꽃, 타르","디저트, 치즈, 해산물, 연어",-,3.5,6~7 %,4,2,2,1,"투명한 황금빛을 띄며 부드러운 발포성 와인으로 크리미한 버블이 매혹적이다. 꽃 향기, 그리고 달콤한 풍미와 함께 청량함을 함께 느낄 수 있다.
14 헥타르의 평균 40~50년 된 석회질 토양의 포도밭에서 수확된 포도를 매우 엄격한 온도에서 발효하여 생산한다. JORGE는 로버트 파커의 올해의 개성적인 20개의 와인 중 하나에 이름을 두 번이나 올렸으며, 스페인의 Food & Wine 잡지에서 주관한 The Golden Grape Award에서 1997년 수상하였으며, 같은 해에 열린 Academia Espanola de Gastronomia에서 Premier de Nacianal de Gastronomia de Victor de la Serna 상을 받았다. 2008년 Jorge는 난터킷섬에서 열린 와인축제에서 올해의 권위자에 이름을 올렸다.",
151,"파고 드 아일레스, Y 드 아일레스","Pago de Ayles, Y de Ayles",60000.0,,스페인,,"후추, 코코아, 오크, 미네랄",,-,3.5,,1,3,5,3,"깊은 루비 레드 색상의 와인으로 신선한 후추의 으깨진 향, 베리류 및 보이즌 베리와 따듯한 느낌의 오크 향이 잘 어우어려 있으며, 약간의 다크 코코아와 미네랄을 광범위하고 복합적으로 느낄 수 있다. 입 안에서의 느낌과 질감은 훌륭하고 부드럽게 다가오며, 세련된 타닌과 지속적이고 우아한 균형감을 잘 맛 볼 수 있다. 풍성한 풀 바디의 와인이 입안 가득 채우고 상쾌한 산도도 느껴진다. 2016년 빈티지는 가르나차 35%, 템프라니오 26%, 메를로 23%, 까베르네 소비뇽 16%가 블렌딩 되었다.

신선한 포도를 위해 밤에 수확하여 저온발효를 하였다. 프랑스 오크에서 젖산 발효 후 225 리티 Allier 프랑스 오크에서 6개월간 숙성간 숙성되었다.",
152,"파밀리아 마로네, 바르베라 달바 라 판타레라","Famiglia Marrone, Barbera d'Alba La Pantalera",130000.0,,이탈리아,알바,"자두, 자두, 잼, 오크",,-,4,14~15 %,1,4,4,3,"붉은 루비색의 와인으로 숙성을 통해 가넷 색을 띠고 향은 강렬하며, 말린 자두, 블랙 베리, 잼, 향신료의 맛과 뛰어난 산도를 같이 가지고 있다. 반면에 고목의 포도로 만들어 우아하고 부드러운 타닌은 최고급 바르베라의 특징을 확실하게 보여준다.

100% 손 수확을 한 포도의 줄기를 제거하고 파쇄해 술 지게미와 접촉하여 침용한다. 1차 발효는 스테인리스 스틸 탱크에서 26~28℃ 로 10~12일 간 진행하며, 2차 발효와 정제 과정은 소형 오크 통에서 12개월 간 이루어진다. 병입 후 12개월간 추가적으로 숙성 후 출시된다. 마로네 가문의 가장 오래된(1960년) 포도 밭에서 수확한 포도로 만들어진다.",
153,"도멘 생 미셸, 브뤼","Domaine Ste. Michelle, Brut",40000.0,스파클링,미국,콜롬비아 밸리,"사과, 감귤",스시,-,4.4,11~12 %,2,3,3,1,"도멘 생 미셸 브뤼는 콜롬비아 밸리에서 수확한 샤르도네, 피노 누아, 피노 그리를 사용하여 완성한 스파클링 와인으로 잘 익은 사과와 감귤 등의 풍부한 아로마가 특징이며 상쾌한 산도와 섬세한 풍미를 자랑한다.

도멘 생 미셸 브뤼는 워싱턴주의 콜롬비아 밸리에서 생산된 프리미엄 포도로 제조되었다. 이는 프랑스의 유명한 샴페인 지구와 비슷한 북쪽 위도에 위치해 있다. 이 지역은 포도가 성장하는 시즌 동안 일조 시간이 약 2시간 더 길어지기 때문에 더욱 풍부하고 향과 농축된 포도의 맛을 자랑한다. 낮 동안의 충분한 햇빛과 시원한 저녁은 풍부한 향과 상쾌한 산도를 가진 와인을 생산할 수 있게 만들어준다.",
154,"리뽄, 피노 누아","Rippon, Pinot Noir",200000.0,,뉴질랜드,센트럴 오타고,"배, 자두, 자두, 체리, 블랙체리, 허브, 오크",,-,4,14~15 %,1,4,3,2,"투명한 루비 적색을 띠고, 부드러운 오크의 뉘앙스에 산뜻한 향과 처음부터 코를 자극하는 과실향 그리고 스파이시한 허브향이 잘 느껴지고, 잘익은 서양자두와 블랙체리의 달콤함과 미디엄 바디의 산뜻하지만 기품있는 맛을 가진 와인이다. 잰시스 로빈스는 이 와인을 키위 와인의 버건디에 대한 반격이라 평할 정도로 뉴질랜드 피노 누아에서 느껴지는 과실폭탄의 느낌보다는 뉘앙스가 버건디에 가까운 스타일의 와인이다.

Roy’s Bay와 Wanaka호수의 서쪽 경사면에 위치한 거친 자갈과 편암을 기반으로 가진 이 지역에서 가장 빨리 재배하기 시작한 포도밭에서 수확한 피노 누아로 만든 와인이다.",
155,"바인리더, 그뤼너 벨트리너 클라식","WeinRieder, Grüner Veltliner Klassik",45000.0,,오스트리아,바인피어텔,배,,-,4,,1,4,3,1,"가볍고 신선하며 과일향이 풍부한 매우 기분을 좋게하는 와인으로 그뤼너 벨트리너 품종의 전형적인 페퍼 향이 지배적이다. 세심한 손 수확과 줄기 제거, 부드러운 압착과 저온 스테인레스 발효를 통한 깔끔한 과일 캐릭터를 잘 보여주는 와인이다.",
156,"이까르디, 모스토 비앙코","Icardi, Mosto Bianco",28000.0,,이탈리아,피에몬테,"배, 허브, 레몬, 오렌지",,-,3.1,5~6 %,4,2,3,1,"밝은 황금색을 띠며 과하지 않은 작은 기포를 보여준다. 레몬, 만다린, 오렌지, 배, 허브 등 다양한 아로마와 특히 기분 좋게 느껴지는 달콤한 과실과 청량함이 특징인 와인이다. 부드러운 압착을 거친 후 짧은 침용과 낮의 온도에서 발효를 통하여 깔끔한 모스카토 생산에 집중하였다.

Mosto Parzialmente Fermentato Bianco = ‘Must of grape partially fermented’ = 부분 발효된 포도즙을 말한다. 일반적으로 화이트 와인은 껍질을 제거하고 과즙만으로 발효를 하지만 '모스토 비앙코'는 화이트 와인 중에서도 드물게 껍질과 함께 발효시켜 복합적인 풍미를 띠고 있다.",
157,"포틴핸즈, 리슬링","14Hands, Riesling",90000.0,,미국,워싱턴주,"배, 사과, 살구, 타르, 미네랄, 타르트","새우, 치킨",-,3.8,11~12 %,1,5,2,1,"사과, 배, 살구의 향과 균형 잡힌 미네랄 감이 잘 살아나는 리슬링으로 과일 타르트 같은 달콤함이 피니시에 이어진다. 완벽한 식전주로 어울리며 매콤한 한국음식과의 조화가 좋은 와인이다.",
158,"고세, 그랑 로제 브뤼","Gosset, Grand Rose Brut",220000.0,스파클링,프랑스,샹빠뉴,"아몬드, 체리, 딸기, 시나몬, 육두구, 버터","디저트, 송아지, 연어, 딸기",-,3.3,12~13 %,1,4,3,1,"아름다운 루비빛이 살짝 감도는 반짝이는 연한 핑크 컬러와 마치 다이아몬드와 같이 반짝이는 작은 공기방울이 아름답다. 라즈베리나 딸기, 레드 커런트와 같은 붉은 과일의 향과 함께 시나몬과 육두구와 같은 향신료의 향 등을 느낄 수 있는 와인으로 갖 구운 브리오쉬(버터를 넣어 구운 프렌치 빵의 일종)와 같은 고소한 향까지 느낄 수 있는 와인이다.

블랙 커런트나 체리로 만든 달콤한 과일쨈의 향과 함께 실크와 같이 부드러운 와인의 질감과 탄산방울이 입 안을 부드럽게 적시면서 마지막까지 인상적인 여운을 남기는 샴페인이다. 약 3~4년 동안 Lees와 함께 숙성 진행(최소 15개월 이상)

*1950년부터 이어진 수잔 고세의 유산
수잔 고세의 로제 샴페인에 대한 강한 신념은 디저트 종류와만 페어링 해 왔던 그 시대의 달고 진한 로제 와인에 대한 편견을 없애고 모든 음식과도 어울리는 고세만의 로제를 만드는 데 큰 기여를 하였다.

피노누아, 피노뫼니에 등 적포도의 비율을 높여 만드는 다른 샴페인 하우스들의 로제와는 다르게, 수잔 고세는 50% 피노누아와 50%의 샤르도네 비율로 달지 않고, 연한 살몬(연어)색을 띠며 미네랄리티와 산미가 좋고 우아한 가스트로노미(Gastronomy) 스타일의 로제를 탄생시켰다.

다른 샴페인 하우스들의 로제와인 평균 매출이 5~8%인 데에 비해 현재 샴페인 고세 그랑 로제 매출은 12% 정도로 Flagship champagne의 위엄을 보여주고 있다.","
dn486sy
2018.10.18
NV 빈티지
2.5
로제와인의 색감때문에 향이 풍부할줄 알았으나 산미가 너무 강함
phn3516
2018.10.18
NV 빈티지
3.5
순둥이
2018.10.18
NV 빈티지
3.5
이종재/JJ
2018.10.18
NV 빈티지
4.0
이주엘
2018.10.18
NV 빈티지
4.5
장우성
2018.10.18
NV 빈티지
3.0
매력적인 색상, 편안한 과일향, 대화를 하며 마시기 좋은
정지웅
2018.10.18
NV 빈티지
3.0
한만호
2018.10.18
NV 빈티지
3.0"
159,몬테스 알파 블랙 라벨 샤도네이,Montes Alpha Black Label Chardonnay,67000.0,,칠레,아콩카구아,"헤이즐넛, 복숭아, 바닐라, 시트러스","치즈, 연어, 파스타",-,3.8,,1,3,4,1,"와인은 깊은 옐로우 빛깔을 가지며 파인애플, 바나나 등의 잘 익은 열대 과일 풍미와 복숭아 등의 흰 과일을 연상케한다. 섬세한 오크 터치를 목적으로 와인의 40%만 프렌치 오크통에서 12개월 숙성하여, 풍성한 과일 아로마에 바닐라, 헤이즐넛 및 토스티한 풍미가 복합미를 부여하였다. 특히 ‘블랙 라벨’ 샤도네이는 섬세한 유제품 및 토피 노트가 매우 유혹적으로 다가오며 입 안에 닿았을 때 꽤 묵직하지만 매우 생동감 있고 신선한 풍미와 기분 좋은 산도, 긴 여운으로 아름답게 마무리된다.

몬테스 알파 알파 블랙 라벨 샤도네이는 태평양과 인접한 아콩카구아 코스타에 포도밭이 위치해 있어, 포도송이가 해안바다를 받으며 아주 천천히 완숙된다. 덕분에 와인은 생동감 있는 과일풍미와 좋은 산도를 가지며, 부르고뉴를 원산지로 하는 디종 클론 사용과 점질토를 기반으로 하는 토양으로 열대과일 풍미와 섬세한 시트러스 풍미가 적절하게 조화되었다.",
160,"자카니니, 크리스탈 트위그 트레비아노 다부르쪼","Zaccagnini, Crystal Twig Trebbiano d'Aburzzo",48000.0,,이탈리아,아브루쪼,"해산물, 육류요리",,-,3.8,12 %,1,4,2,1,"초록빛이 감도는 밝은 노란색의 와인이다. 트레비아노 포도의 독특한 신선함이 코에서 섬세하게 느껴지는 와인이다. 조화롭고 균형잡힌 드라이하지만 행복한 맛을 느낄 수 있다.

포도를 부드럽게 압착한 후 진공 저온에서 압착한다. 저온에서 발효를 진행한 후 스테인리스 통에서 2개월간 숙성한다. 이후 병입해서 1개월 정제한다. 보통 추수 이후인 12월에 판매한다.",
161,"플라네타, 부르데제","Planeta, Burdese",75000.0,,이탈리아,시칠리아,"배, 체리, 로즈마리, 코코아, 오크","치즈, 육류요리",-,4.2,14.5 %,1,3,5,4,"‘부르데제’는 시칠리아 방언으로 프랑스 ‘보르도’를 뜻한다. 시칠리아에서 오랜 역사를 가진 보르도 블렌딩 와인 양조에 대한 헌사의 의미를 지닌 와인이다. 1999년 첫 출시 후 구대륙 와인 애호가들에게 꾸준한 사랑을 받고 있다.

특별히 선별한 우수한 밭에서 재배한 포도로 만들어 마치 잘 만든 보르도 와인 같은 촘촘한 질감과 우아한 풍미에 시칠리아의 강렬한 태양 아래 자란 포도의 화려한 아로마를 더했다. 잘 다듬어진 촘촘한 타닌의 질감과 견고한 바디감, 잘 익은 과일의 풍부한 풍미가 잘 어우러졌다. 새콤달콤한 체리 향과 코코아, 로즈마리 등 다채로운 부케가 긴 여운을 선사한다.

프랑스 알리에 산 새 오크통에서 14개월 간 숙성했으며, 향후 10-12년 더 두고 숙성할 수 있는 잠재력을 갖고 있다.",
162,"피오 체사레, '피데스' 바르베라 달바","Pio Cesare, 'Fides' Barbera d'Alba",160000.0,,이탈리아,알바,"배, 자두, 자두, 체리, 블랙베리, 타바코","치즈, 비프, 바비큐",-,4.2,,1,3,3,4,"선명한 루비빛. 검은 체리, 붉은 자두, 카시스, 타바코 향이 느껴지고, 잘 익은 자두, 블랙베리, 스파이스 풍미와 촘촘하게 조여오는 타닌을 가진 와인이다.

'피데스'바르베라 달바는 가문 소유의 싱글 빈야드에서 재배한 바르베라로 만드는 와인이다. 'Fides'는 '믿음'을 의미하는 단어로 바르베라 품종에 대한 체사레 가문의 믿음과 그 품종, 그리고 떼루아의 고유한 특성을 잘 살리고자 하는 의지가 담겨있다.",
163,"샤또 롱보, 뀌베 삐에르 드 라 파브레귀","Chateau Rombeau, Cuvee Pierre de la Fabregue",65000.0,,프랑스,꼬뜨 드 루씨옹,"호두, 배, 감초, 오크",,-,4,,1,3,4,3,"진한 검붉은 색의 이 와인은 까시스, 감초젤리, 설탕에 조린 호두 등의 향을 뿜어낸다. 묵직한 무게감과 부드럽게 혀를 감싸는 듯한 촘촘한 타닌이 입안에서 어우러진다. 화려함과 우아함의 절묘한 밸런스를 갖춘 와인으로 향에서 느낀 풍미가 입에서도 잘 전달된다. 5년 이상 충분히 숙성할 수 있는 힘이 있다.

석회토와 둥근 자갈이 섞인 점토 토양, 올드바인에서 수확하며 오랜 시간의 침용 후 각각 새 프렌치 오크 배럴에서 12개월 동안 숙성한 후 블랜딩한다.",
164,"칸티네 체치, 데칸타 로쏘","Cantine Ceci, Decanta Rosso",,,이탈리아,에밀리아 로마냐,"후추, 육두구, 오크",,-,4,14~15 %,1,3,4,3,"루비 레드의 색상을 가진 와인이며, 아름답게 균형잡힌 야채의 향을 가지고 있다. 브랜디에 담근 과일 향과 후추, 육두구의 향이 자극적이고 강렬하게 느껴진다. 맛은 신선하고 알코올이 느껴지며 풀바디에 강한 타닌감이 느껴지는 와인이다.

포도를 수화한 후 부드럽게 압착한다. 발효를 진행한 후, 3개월 간의 오크통 숙성을 진행한다. 이 과정을 통해 복잡한 구조감을 가진 와인으로 탄생하게 된다.",
165,트리코,Trico,80000.0,,스페인,리아스 바이사스,"배, 복숭아, 자두, 자두, 감귤, 파인애플",,-,4,,1,4,4,1,"초록 색상이 감도는 아름다운 황금 노랑 색상을 띠는 와인으로 맑고, 밝고 강렬하며 아름다운 잔 흐름(viscosity,tear)를 갖고 있다. 솔직하고 강렬한 와인의 향이 느껴지는 이 와인은 매실, 열대 복숭아, 자두, 파인애플 및 패션 푸르츠 향이 가미된 신선한 그린 애플 향이 지배적이며, 신선한 감귤 향이 뒤 따른다. 이 외에도 흥미로운 향이 과일향과 어우러져 다양한 향을 표현 해 내고 있다. 섬세한 풀향과 발사믹 향은 상쾌한 향과 함께 느껴지기도 한다. 입안에서는 약간의 유질감이 느껴지고, 훌륭한 산도는 지속적으로 이어지며 긴 여운을 보여주는 와인이다.

트리코(Trico)는 리아스 바이사스에서 형제들과 차이가 많이 나는 막내 아이에게 주어지는 이름이다.",
166,"폴 자불레 애네, 꼬뜨 뒤 론 시크렛 드 파미","Paul Jaboulet Aine, Cotes du Rhone Secret de Famille",33000.0,,프랑스,꼬뜨 뒤 론,"블랙커런트, 후추",치즈,-,3.5,,1,3,3,3,"짙은 가넷색을 띠고, 강렬한 블랙커런트, 라즈베리와 함께 약간의 후추향을 가지고 있다. 파워풀하면서도 붉은 과실과 구운 향의 아름다운 조화를 느낄 수 있다. 뒤이은 섬세하고 부드러운 타닌이 긴 여운을 남기는 와인이다.

1834년부터 폴 자불레는 훌륭한 와인을 만드는 데에 힘써왔다. 6대를 거치며 쌓인 노하우는 현재의 와인 메이커 카롤린 프레이에게 전달되어 '시크렛 드 파미'가 만들어졌다. 이 와인은 35년 된 포도나무에서 자란 과실만을 손 수확하여 전통적인 양조법으로 생산되며, 자동온도조절 장치에서 발효를 진행한다. 지금 마셔도 좋고 5년까지 즐기기에 좋은 와인이다.",
167,"피에트라돌체, 람판테 에트나 로쏘","Pietradolce, Rampante Etna Rosso",115000.0,,이탈리아,시칠리아,"자두, 자두, 체리, 장미, 코코아, 오크","치즈, 스테이크, 등심",-,4.5,,1,4,4,3,"루비컬러를 띠고 검붉은 야생과일, 스파이시한 부케가 느껴진다. 입 안에서는 화산 토양의 훌륭한 미네랄리티는 물론 입 안에서 깊고 길게 느껴지는 과실미의 여운과 우아한 산미가 특징인 와인이다. 프렌치 오크통에서 14개월간 숙성했다.",
168,"레 끌로제 드 조, 루즈","Les Clauzesde Jo, Rouge",76000.0,,프랑스,랑그독-루씨옹,"자두, 자두, 체리, 레드커런트, 후추, 오크","치즈, 송아지",-,4,,1,4,5,4,"선명한 루비색을 띠고 붉은 체리, 자두, 레드커런트, 은은한 후추향이 느껴진다. 부드럽게 입안을 감싸는 둥근 타닌과 잘 익은 검붉은 과실의 캐릭터가 풍성하게 차오르며 적당한 산도로 입안이 깔끔하게 마무리 되는 와인이다.

끌로제 드 조는 다미엔이 와인 양조에 뛰어들 수 있도록 많은 영향을 준 자신의 아버지인 Joseph Coste를 기리며 아버지 이름의 약자인 Jo 를 붙여 ‘아버지에 대한 사랑과 신념’을 표현한 와인이다. 끌로제 드 조 루즈는 최대 40년의 올드바인에서 수확한 론 지역의 대표 품종을 블렌딩하며 모두 손수확으로 선별한 포도만을사용하고 있다. 12개월의 오크 숙성에서 오는 잘 다듬어진 듯한 부드러운 타닌과 꽉 차는 바디가 돋보이는 레드와인으로 연간 4,000병만 생산된 소량의 유기농 와인이다.",
169,"바바, 스트라디바리오 바르베라 다스티 수페리오레","Bava, Stradivario Barbera d'Asti Superiore",222000.0,,이탈리아,아스티,"배, 체리, 블랙체리, 바닐라, 오렌지","치즈, 육류요리",-,4.5,14 %,1,4,4,4,"오렌지빛이 감도는 붉은 벽돌색을 띠고 잘 익은 블랙체리와 스파이시한 과일 향과 새로운 오크 배럴 숙성을 통한 바닐라향, 구수한 향과 잘 어우러졌다. 오크배럴 숙성으로 유연해진 알코올과 잘 농축된 과실의 풍성함은 진한 점성과 함께 입안을 벨벳처럼 적셔주는 매우 우아한 와인이다. 오크배럴에서 18개월 숙성되었고 필터링 거치지 않았다.

스트라디바리오 바르베라 다스티는 섬세하면서도 웅장한 소리를 내 천상의 소리라는 칭송을 받는 바이올린 스트라디발리오로 표현된다. 바르베라 포도품종의 우수성을 세상에 알리는데 일조, 바바 패밀리를 최고의 바르베라 생산자로 인정받게 한 와인이다. 와인잡지와 비평가들로부터 극찬을 받고 있으며, 톰 스티븐슨의 ‘소더비 와인 엔사이클로페디아’에 대표적인 바르베라 다스티 와인으로 소개되고 있다. 오랜 침용 과정과 새로운 오크배럴에서의 18개월간의 숙성을 통해 와인의 풍미를 이끌어내었으며, 필터링을 거치지 않는다.",
170,"부샤르 뻬레 에 피스, 본 뒤 샤또 프르미에 크뤼","Bouchard Pere & Fils, Beaune du Chateau 1er Cru",120000.0,,프랑스,본,"가금류, 치킨, 버섯",,-,4.5,13 %,1,3,3,3,"Bouchard Pere & Fils의 간판급 와인의 하나로 Beaune에 위치한 약 10 군데의 1등급 포도밭에서 기른 과실을 각각 양조한 후 블렌딩하여 생산된다. 포도의 Source가 다원화 되어 있으므로 이 와인은 빈티지별로 품질의 기복을 최소화할 수 있는 장점이 있으며, 1등급과 그랑 크뤼 밭의 최대 소유주로서의 Bouchard의 역량이 녹아있는 와인이다.

신선하고 과즙이 풍부하게 살아있는 Juicy하며 세련된 붉은 과실의 풍미는 이 와인의 매력이며, 이는 곳 본(Beaune) 지방 와인의 교과서적 특징이다.",
